{'loss': 0.4360875, 'global_step': 2479, 'accuracy': 0.8881} @ {'batch_size': 30, 'steps': 100, 'epochs': 1} took 42.2069368362 seconds
{'loss': 0.043135833, 'global_step': 80815, 'accuracy': 0.9853} @ {'batch_size': 150, 'steps': 200, 'epochs': 2} took 108.081394911 seconds
{'loss': 0.042441655, 'global_step': 81015, 'accuracy': 0.986} @ {'batch_size': 200, 'steps': 200, 'epochs': 2} took 135.965769053 seconds
{'loss': 0.042245425, 'global_step': 81215, 'accuracy': 0.9861} @ {'batch_size': 300, 'steps': 200, 'epochs': 2} took 192.378813028 seconds
{'loss': 0.042427015, 'global_step': 81415, 'accuracy': 0.9857} @ {'batch_size': 500, 'steps': 200, 'epochs': 2} took 307.446649075 seconds
{'loss': 0.044160306, 'global_step': 81915, 'accuracy': 0.9859} @ {'batch_size': 30, 'steps': 500, 'epochs': 2} took 71.6821479797 seconds
{'loss': 0.04294946, 'global_step': 82415, 'accuracy': 0.9852} @ {'batch_size': 50, 'steps': 500, 'epochs': 2} took 100.381079912 seconds
{'loss': 0.041618183, 'global_step': 82915, 'accuracy': 0.9869} @ {'batch_size': 100, 'steps': 500, 'epochs': 2} took 170.35935998 seconds
{'loss': 0.04150589, 'global_step': 83415, 'accuracy': 0.9865} @ {'batch_size': 150, 'steps': 500, 'epochs': 2} took 239.365170956 seconds
{'loss': 0.04156513, 'global_step': 83915, 'accuracy': 0.9859} @ {'batch_size': 200, 'steps': 500, 'epochs': 2} took 311.992155075 seconds
{'loss': 0.041290063, 'global_step': 84415, 'accuracy': 0.9857} @ {'batch_size': 300, 'steps': 500, 'epochs': 2} took 450.62232995 seconds
{'loss': 0.041593418, 'global_step': 84915, 'accuracy': 0.986} @ {'batch_size': 500, 'steps': 500, 'epochs': 2} took 738.534199953 seconds
{'loss': 0.043359797, 'global_step': 85915, 'accuracy': 0.9849} @ {'batch_size': 30, 'steps': 1000, 'epochs': 2} took 122.284895897 seconds
{'loss': 0.041721616, 'global_step': 86915, 'accuracy': 0.9858} @ {'batch_size': 50, 'steps': 1000, 'epochs': 2} took 180.437284946 seconds
{'loss': 0.0404878, 'global_step': 87915, 'accuracy': 0.9865} @ {'batch_size': 100, 'steps': 1000, 'epochs': 2} took 320.180927992 seconds
{'loss': 0.039998226, 'global_step': 88915, 'accuracy': 0.9871} @ {'batch_size': 150, 'steps': 1000, 'epochs': 2} took 458.174744129 seconds
{'loss': 0.04190821, 'global_step': 89016, 'accuracy': 0.9866} @ {'batch_size': 30, 'steps': 100, 'epochs': 3} took 40.8417460918 seconds
{'loss': 0.041471526, 'global_step': 89116, 'accuracy': 0.9864} @ {'batch_size': 50, 'steps': 100, 'epochs': 3} took 46.1904270649 seconds
{'loss': 0.041825514, 'global_step': 89216, 'accuracy': 0.9868} @ {'batch_size': 100, 'steps': 100, 'epochs': 3} took 60.3820860386 seconds
{'loss': 0.040414397, 'global_step': 89316, 'accuracy': 0.9869} @ {'batch_size': 150, 'steps': 100, 'epochs': 3} took 74.1578929424 seconds
{'loss': 0.040790014, 'global_step': 89416, 'accuracy': 0.9862} @ {'batch_size': 200, 'steps': 100, 'epochs': 3} took 88.0263531208 seconds
{'loss': 0.04011885, 'global_step': 89516, 'accuracy': 0.9866} @ {'batch_size': 300, 'steps': 100, 'epochs': 3} took 115.597720861 seconds
{'loss': 0.040265042, 'global_step': 89616, 'accuracy': 0.9864} @ {'batch_size': 500, 'steps': 100, 'epochs': 3} took 174.653071165 seconds
{'loss': 0.04319581, 'global_step': 89816, 'accuracy': 0.9857} @ {'batch_size': 30, 'steps': 200, 'epochs': 3} took 51.8632531166 seconds
{'loss': 0.041327234, 'global_step': 90016, 'accuracy': 0.9862} @ {'batch_size': 50, 'steps': 200, 'epochs': 3} took 62.3345460892 seconds
{'loss': 0.04098234, 'global_step': 90216, 'accuracy': 0.9866} @ {'batch_size': 100, 'steps': 200, 'epochs': 3} took 90.3088920116 seconds
{'loss': 0.040738817, 'global_step': 90416, 'accuracy': 0.9867} @ {'batch_size': 150, 'steps': 200, 'epochs': 3} took 117.610686064 seconds
{'loss': 0.04058503, 'global_step': 90616, 'accuracy': 0.9865} @ {'batch_size': 200, 'steps': 200, 'epochs': 3} took 145.081835032 seconds
{'loss': 0.039969753, 'global_step': 90816, 'accuracy': 0.987} @ {'batch_size': 300, 'steps': 200, 'epochs': 3} took 200.871283054 seconds
{'loss': 0.040016707, 'global_step': 91016, 'accuracy': 0.9869} @ {'batch_size': 500, 'steps': 200, 'epochs': 3} took 316.929970026 seconds
{'loss': 0.043353386, 'global_step': 91516, 'accuracy': 0.9856} @ {'batch_size': 30, 'steps': 500, 'epochs': 3} took 81.0485079288 seconds
{'loss': 0.040878847, 'global_step': 92016, 'accuracy': 0.9872} @ {'batch_size': 50, 'steps': 500, 'epochs': 3} took 108.519860029 seconds
{'loss': 0.04031629, 'global_step': 92516, 'accuracy': 0.9862} @ {'batch_size': 100, 'steps': 500, 'epochs': 3} took 180.977656126 seconds
{'loss': 0.039774094, 'global_step': 93016, 'accuracy': 0.987} @ {'batch_size': 150, 'steps': 500, 'epochs': 3} took 249.324209929 seconds
{'loss': 0.039461255, 'global_step': 93516, 'accuracy': 0.9877} @ {'batch_size': 200, 'steps': 500, 'epochs': 3} took 321.29576993 seconds
{'loss': 0.039292503, 'global_step': 94016, 'accuracy': 0.9867} @ {'batch_size': 300, 'steps': 500, 'epochs': 3} took 460.333335876 seconds
{'loss': 0.03935287, 'global_step': 94516, 'accuracy': 0.9867} @ {'batch_size': 500, 'steps': 500, 'epochs': 3} took 748.466247082 seconds
{'loss': 0.041121412, 'global_step': 95516, 'accuracy': 0.9869} @ {'batch_size': 30, 'steps': 1000, 'epochs': 3} took 131.734412909 seconds
{'loss': 0.039853223, 'global_step': 96516, 'accuracy': 0.9862} @ {'batch_size': 50, 'steps': 1000, 'epochs': 3} took 188.622368097 seconds
{'loss': 0.03878584, 'global_step': 97516, 'accuracy': 0.9872} @ {'batch_size': 100, 'steps': 1000, 'epochs': 3} took 332.298178196 seconds
{'loss': 0.03852726, 'global_step': 98516, 'accuracy': 0.987} @ {'batch_size': 150, 'steps': 1000, 'epochs': 3} took 469.808352947 seconds
{'loss': 0.038237035, 'global_step': 99516, 'accuracy': 0.9874} @ {'batch_size': 200, 'steps': 1000, 'epochs': 3} took 605.476587057 seconds
{'loss': 0.038585436, 'global_step': 100516, 'accuracy': 0.9879} @ {'batch_size': 300, 'steps': 1000, 'epochs': 3} took 886.855448961 seconds
